Size,Photos/Drone,Zillow 3D+ Floorplan,Video Walkthrough,Matterport,Reels/TikTok,Floorplan,Virtual Twilight,Local MLS
"0,000-1,499",$175.00,$135.00,$175.00,$300.00,$150.00,$40.00,$15.00,$250.00
"1,500-1,999",$200.00,$135.00,$200.00,$300.00,$150.00,$40.00,$15.00,$250.00
"2,000-2,499",$225.00,$155.00,$225.00,$375.00,$225.00,$40.00,$15.00,$250.00
"2,500-2,999",$250.00,$155.00,$250.00,$375.00,$225.00,$40.00,$15.00,$250.00
"3,000-3,499",$275.00,$175.00,$275.00,$375.00,$225.00,$40.00,$15.00,$250.00
"3,500-3,999",$300.00,$175.00,$300.00,$375.00,$225.00,$40.00,$15.00,$250.00
"4,000-4,499",$325.00,$195.00,$325.00,$450.00,$225.00,$40.00,$15.00,$250.00
"4,500-4,999",$350.00,$195.00,$350.00,$450.00,$225.00,$40.00,$15.00,$250.00
"5,000-5,499",$375.00,$215.00,$375.00,$450.00,$225.00,$40.00,$15.00,$250.00
"5,500-5,999",$400.00,$215.00,$400.00,$450.00,$225.00,$40.00,$15.00,$250.00
,Flow Photos,Flow Photos,Flow Photos,Flow Photos,Flow Photos,Flow Photos,BoxBrownie,M&T Realty
,,,,,,,,
"6,000+ Email",Form for quote,,,,,,,
Travel 35 miles,out get quote,$50- Grand,,,,,,
Broker Assisted,"$2,000 up to ","$400,000, 1/2%",over $400k,,,,,
